frameNumber,x,y,z,velocity,snr,noise
101,-0.5496070981025696,1.3249472379684448,0.3008083701133728,0.0,257,547
101,-0.6106745600700378,4.80571174621582,0.6319085955619812,0.0,202,428
101,-0.7175426483154297,22.38569450378418,5.058661937713623,0.0,121,426
101,0.0,24.17695426940918,3.4860212802886963,0.0,131,437
102,-0.5038065314292908,1.3582987785339355,0.22190584242343903,0.0,260,549
102,-0.4580059051513672,4.809402942657471,0.7259289026260376,0.0,196,433
102,0.0,22.66026496887207,3.706296682357788,0.0,124,422
102,-0.7633432149887085,24.116716384887695,3.805100679397583,0.0,114,445
103,-0.5496070981025696,1.3436260223388672,0.20159360766410828,0.0,262,543
103,-0.6106745600700378,4.822269439697266,0.48978662490844727,0.0,204,425
103,-1.4350852966308594,22.580921173095703,3.9072721004486084,0.0,130,420
103,-0.7633432149887085,24.123071670532227,3.764604330062866,0.0,138,430
104,-0.5496070981025696,1.344053864479065,0.19872073829174042,0.0,265,542
104,-0.6106745600700378,4.831703186035156,0.38576969504356384,0.0,201,427
104,-0.7175426483154297,22.669713973999023,3.5767948627471924,0.0,127,420
104,0.0,24.241056442260742,3.008094072341919,0.0,142,433
105,-0.5496070981025696,1.341118574142456,0.2176511585712433,0.0,267,543
105,-0.6106745600700378,4.837793827056885,0.2998793423175812,0.0,191,438
105,0.0,22.47451400756836,4.703239917755127,0.0,129,422
105,-0.7633432149887085,24.04932403564453,4.210083961486816,0.0,134,435
106,-0.5038065314292908,1.3615437746047974,0.2010384500026703,0.0,274,538
106,-0.6106745600700378,4.821032524108887,0.5018158555030823,0.0,196,431
106,0.0,22.891447067260742,1.7905073165893555,0.0,148,408
106,0.0,24.1095027923584,3.925473928451538,0.0,137,429
107,-0.5038065314292908,1.3630485534667969,0.19056931138038635,0.0,273,538
107,-0.6106745600700378,4.818276405334473,0.5276237726211548,0.0,211,415
107,-0.7175426483154297,22.866846084594727,1.9536360502243042,0.0,139,415
107,0.0,24.091156005859375,4.036542892456055,0.0,130,431
108,-0.5038065314292908,1.357339859008789,0.22769795358181,0.0,268,541
108,-0.6106745600700378,4.823328018188477,0.4792500138282776,0.0,205,422
108,0.0,22.555593490600586,4.297610759735107,0.0,131,420
108,0.0,24.33909797668457,2.0702028274536133,0.0,135,430
109,-0.641208291053772,0.722148060798645,-0.14845241606235504,0.0,250,560
109,-0.33587101101875305,0.8042696118354797,0.44161635637283325,0.0,250,560
109,-0.6106745600700378,4.833095550537109,0.3679158091545105,0.0,200,422
109,-0.7175426483154297,22.5427188873291,4.305255889892578,0.0,127,421
109,0.0,24.26499366760254,2.808485746383667,0.0,134,439
110,-0.641208291053772,0.7168167233467102,-0.17236512899398804,0.0,250,559
110,-0.3053372800350189,0.827634334564209,0.42008885741233826,0.0,250,559
110,-0.4580059051513672,4.83965539932251,0.48483383655548096,0.0,199,424
110,0.0,22.66026496887207,3.706296682357788,0.0,131,422
110,0.0,24.193758010864258,3.367421865463257,0.0,136,437
111,-0.641208291053772,0.7238024473190308,-0.14016415178775787,0.0,240,562
